cohort,target_id,replica,stream,regime,dimension,radius,gamma,strength,geometry,decoder,squared_angle_radians,hard_success
independent,independent/rep0-stream0-regime1-d10/3,0,0,1,10,10.0,1.0,0.0,frames,quadratic-ac,0.00378130998460512,
independent,independent/rep0-stream0-regime1-d10/4,0,0,1,10,10.0,1.0,0.0,frames,quadratic-ac,0.0016088968539563155,
independent,independent/rep0-stream0-regime1-d10/5,0,0,1,10,10.0,1.0,0.0,frames,quadratic-ac,0.003642397690997675,
independent,independent/rep0-stream0-regime1-d10/6,0,0,1,10,10.0,1.0,0.0,frames,quadratic-ac,0.0018065292887197023,
independent,independent/rep0-stream0-regime1-d10/7,0,0,1,10,10.0,1.0,0.0,frames,quadratic-ac,0.003359829379906201,
independent,independent/rep0-stream0-regime1-d10/0,0,0,1,10,10.0,1.0,0.0,frames,quadratic-vc,0.0023220942075569415,
independent,independent/rep0-stream0-regime1-d10/1,0,0,1,10,10.0,1.0,0.0,frames,quadratic-vc,0.004295962450838891,
independent,independent/rep0-stream0-regime1-d10/2,0,0,1,10,10.0,1.0,0.0,frames,quadratic-vc,0.0027041278163767476,
independent,independent/rep0-stream0-regime1-d10/3,0,0,1,10,10.0,1.0,0.0,frames,quadratic-vc,0.002326259715807011,
independent,independent/rep0-stream0-regime1-d10/4,0,0,1,10,10.0,1.0,0.0,frames,quadratic-vc,0.0014893289257905044,
independent,independent/rep0-stream0-regime1-d10/5,0,0,1,10,10.0,1.0,0.0,frames,quadratic-vc,0.0038913308889847145,
independent,independent/rep0-stream0-regime1-d10/6,0,0,1,10,10.0,1.0,0.0,frames,quadratic-vc,0.0018378845893235658,
independent,independent/rep0-stream0-regime1-d10/7,0,0,1,10,10.0,1.0,0.0,frames,quadratic-vc,0.002729839174353148,
independent,independent/rep0-stream1-regime0-d10/0,0,1,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-ac,0.00013231042556270664,
independent,independent/rep0-stream1-regime0-d10/1,0,1,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0006047880643911129,
independent,independent/rep0-stream1-regime0-d10/2,0,1,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0001856983394902362,
independent,independent/rep0-stream1-regime0-d10/3,0,1,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0003910618488560072,
independent,independent/rep0-stream1-regime0-d10/4,0,1,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-ac,9.73468771693812e-05,
independent,independent/rep0-stream1-regime0-d10/5,0,1,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0004341240506957042,
independent,independent/rep0-stream1-regime0-d10/6,0,1,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0002397295534498599,
independent,independent/rep0-stream1-regime0-d10/7,0,1,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0004921230055846365,
independent,independent/rep0-stream1-regime0-d10/0,0,1,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-vc,0.00013014000168924867,
independent,independent/rep0-stream1-regime0-d10/1,0,1,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-vc,0.0005706914063816374,
independent,independent/rep0-stream1-regime0-d10/2,0,1,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-vc,0.00013281610342241528,
independent,independent/rep0-stream1-regime0-d10/3,0,1,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-vc,0.00036920459440031183,
